Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;02;06;00;00;24.35;0.00;12.73;81.87
2019;02;06;01;00;22.92;0.00;10.37;69.68
2019;02;06;02;00;21.73;0.00;8.09;57.72
2019;02;06;03;00;20.87;0.00;6.88;47.12
2019;02;06;04;00;20.24;0.00;6.62;45.00
2019;02;06;05;00;19.85;0.00;6.19;35.54
2019;02;06;06;00;19.57;0.00;6.49;33.69
2019;02;06;07;00;20.88;0.00;6.19;35.54
2019;02;06;08;00;23.20;0.00;8.71;51.71
2019;02;06;09;00;25.56;0.00;10.69;57.38
2019;02;06;10;00;27.87;0.00;12.10;67.25
2019;02;06;11;00;29.81;0.00;14.24;73.86
2019;02;06;12;00;31.25;0.00;15.54;76.61
2019;02;06;13;00;32.30;0.00;15.54;76.61
2019;02;06;14;00;32.89;0.00;15.11;77.62
2019;02;06;15;00;33.08;0.00;14.56;81.47
2019;02;06;16;00;32.79;0.00;14.08;85.60
2019;02;06;17;00;32.11;0.00;13.14;99.46
2019;02;06;18;00;29.76;0.00;9.11;108.43
2019;02;06;19;00;29.11;0.00;8.59;123.02
2019;02;06;20;00;28.80;0.00;9.29;144.46
2019;02;06;21;00;26.27;0.00;10.25;161.57
2019;02;06;22;00;24.39;0.00;9.51;150.52
2019;02;06;23;00;23.70;0.00;7.42;129.09
2019;02;07;00;00;23.49;0.00;6.29;103.24
2019;02;07;01;00;23.19;0.00;6.15;69.44
2019;02;07;02;00;22.36;0.00;7.13;45.00
2019;02;07;03;00;21.63;0.00;7.49;35.22
2019;02;07;04;00;20.91;0.00;7.59;31.43
2019;02;07;05;00;20.26;0.00;8.09;32.28
2019;02;07;06;00;19.68;0.00;8.22;28.81
2019;02;07;07;00;21.28;0.00;8.71;29.74
2019;02;07;08;00;23.43;0.00;10.46;49.18
2019;02;07;09;00;25.77;0.00;10.19;57.99
2019;02;07;10;00;28.10;0.00;10.97;66.80
2019;02;07;11;00;30.11;0.00;11.87;75.96
2019;02;07;12;00;31.63;0.00;12.78;80.27
2019;02;07;13;00;32.74;0.00;12.73;81.87
2019;02;07;14;00;33.42;0.00;12.26;86.63
2019;02;07;15;00;33.68;0.00;11.52;90.00
2019;02;07;16;00;33.49;0.00;11.21;95.53
2019;02;07;17;00;32.91;0.00;12.02;98.62
2019;02;07;18;00;30.61;0.00;8.91;104.04
2019;02;07;19;00;29.87;0.00;8.09;122.28
2019;02;07;20;00;27.36;0.00;8.47;167.74
2019;02;07;21;00;24.59;0.00;11.44;192.72
2019;02;07;22;00;23.23;0.00;9.75;184.24
2019;02;07;23;00;22.67;0.00;6.16;173.29
2019;02;08;00;00;22.76;0.00;3.71;150.95
2019;02;08;01;00;22.79;0.00;2.52;90.00
2019;02;08;02;00;22.86;0.00;4.33;41.63
2019;02;08;03;00;22.78;0.00;5.62;39.81
2019;02;08;04;00;22.91;0.00;6.62;45.00
2019;02;08;05;00;22.69;0.00;7.93;50.53
2019;02;08;06;00;22.26;0.00;8.44;50.19
2019;02;08;07;00;22.45;0.00;9.16;45.00
2019;02;08;08;00;23.28;0.00;9.69;41.99
2019;02;08;09;00;25.32;0.00;10.20;47.86
2019;02;08;10;00;27.40;0.00;9.18;48.18
2019;02;08;11;00;29.64;0.00;7.99;54.16
2019;02;08;12;00;31.48;0.00;7.09;66.04
2019;02;08;13;00;32.92;0.00;6.57;80.54
2019;02;08;14;00;33.85;0.00;6.49;93.18
2019;02;08;15;00;34.25;0.00;6.38;106.39
2019;02;08;16;00;34.11;0.00;6.92;117.90
2019;02;08;17;00;33.26;0.00;7.90;136.85
2019;02;08;18;00;31.37;0.00;6.95;158.75
2019;02;08;19;00;29.28;0.00;9.11;189.09
2019;02;08;20;00;26.68;0.00;13.36;207.26
2019;02;08;21;00;25.68;0.00;12.78;212.35
2019;02;08;22;00;24.76;0.00;11.38;214.70
2019;02;08;23;00;23.80;0.00;10.00;210.26
2019;02;09;00;00;22.93;0.00;8.23;203.20
2019;02;09;01;00;22.20;0.00;6.29;203.63
2019;02;09;02;00;21.67;0.00;3.40;212.01
2019;02;09;03;00;21.53;0.00;0.36;270.00
2019;02;09;04;00;21.22;0.00;3.32;12.53
2019;02;09;05;00;20.97;0.00;5.59;14.93
2019;02;09;06;00;21.37;0.00;7.75;21.80
2019;02;09;07;00;22.71;0.00;9.83;23.75
2019;02;09;08;00;24.09;0.00;11.27;26.57
2019;02;09;09;00;26.25;0.00;10.63;28.30
2019;02;09;10;00;28.39;0.00;8.79;34.99
2019;02;09;11;00;30.33;0.00;6.11;45.00
2019;02;09;12;00;31.71;0.00;5.12;50.71
2019;02;09;13;00;32.77;0.00;4.20;59.04
2019;02;09;14;00;33.46;0.00;3.42;71.57
2019;02;09;15;00;33.62;0.00;3.26;83.66
2019;02;09;16;00;33.30;0.00;2.97;104.04
2019;02;09;17;00;30.62;0.60;5.77;93.58
2019;02;09;18;00;29.86;0.90;4.45;104.04
2019;02;09;19;00;29.69;1.20;5.00;120.26
2019;02;09;20;00;28.88;0.20;6.62;135.00
2019;02;09;21;00;27.62;0.20;10.74;140.44
2019;02;09;22;00;25.34;0.00;10.69;147.38
2019;02;09;23;00;24.35;0.00;7.10;149.53
2019;02;10;00;00;23.99;0.00;4.55;108.43
2019;02;10;01;00;23.63;0.00;5.62;50.19
2019;02;10;02;00;22.95;0.00;7.59;31.43
2019;02;10;03;00;22.40;0.00;9.09;33.69
2019;02;10;04;00;21.99;0.00;9.73;38.99
2019;02;10;05;00;22.70;0.00;10.44;46.40
2019;02;10;06;00;22.49;0.00;11.25;39.81
2019;02;10;07;00;22.63;0.00;12.89;35.91
2019;02;10;08;00;23.56;0.00;13.51;41.76
2019;02;10;09;00;24.41;0.00;13.76;47.12
2019;02;10;10;00;26.33;0.00;11.59;53.84
2019;02;10;11;00;28.48;0.00;11.75;62.65
2019;02;10;12;00;30.55;0.00;12.25;65.70
2019;02;10;13;00;32.01;0.00;13.10;74.05
2019;02;10;14;00;32.83;0.00;13.04;83.66
2019;02;10;15;00;33.12;0.00;13.68;90.00
2019;02;10;16;00;31.69;0.00;13.76;96.01
2019;02;10;17;00;31.87;0.00;12.07;79.70
2019;02;10;18;00;29.91;0.00;8.31;72.35
2019;02;10;19;00;29.19;0.00;7.79;56.31
2019;02;10;20;00;28.71;0.00;7.59;58.57
2019;02;10;21;00;28.48;0.00;8.05;79.70
2019;02;10;22;00;28.00;0.00;18.43;102.41
2019;02;10;23;00;26.55;0.00;20.52;105.26
2019;02;11;00;00;25.17;0.00;18.42;94.48
2019;02;11;01;00;24.11;0.00;16.66;83.80
2019;02;11;02;00;23.52;0.00;15.11;77.62
2019;02;11;03;00;22.80;0.00;13.21;72.55
2019;02;11;04;00;22.49;0.00;11.27;63.43
2019;02;11;05;00;22.25;0.00;12.29;58.17
2019;02;11;06;00;22.08;0.00;12.54;50.83
2019;02;11;07;00;22.67;0.00;14.00;43.96
2019;02;11;08;00;24.34;0.00;15.31;48.81
2019;02;11;09;00;26.07;0.00;16.49;58.39
2019;02;11;10;00;27.86;0.00;17.71;63.43
2019;02;11;11;00;29.43;0.00;18.12;69.04
2019;02;11;12;00;30.93;0.00;19.35;71.57
2019;02;11;13;00;31.90;0.00;19.59;72.90
2019;02;11;14;00;32.48;0.00;20.78;75.96
2019;02;11;15;00;32.63;0.00;20.55;78.89
2019;02;11;16;00;32.47;0.00;20.36;81.87
2019;02;11;17;00;31.67;0.00;19.35;80.36
2019;02;11;18;00;29.87;0.00;14.80;85.82
2019;02;11;19;00;28.36;0.00;14.04;90.00
2019;02;11;20;00;27.58;0.00;20.16;91.02
2019;02;11;21;00;26.61;0.00;23.04;89.10
2019;02;11;22;00;25.17;0.00;21.39;83.23
2019;02;11;23;00;23.71;0.00;16.95;77.74
2019;02;12;00;00;22.38;0.00;12.77;68.50
2019;02;12;01;00;21.21;0.00;9.50;52.70
2019;02;12;02;00;20.42;0.00;8.59;33.02
2019;02;12;03;00;19.90;0.00;8.56;22.25
2019;02;12;04;00;19.44;0.00;8.77;19.18
2019;02;12;05;00;18.93;0.00;8.31;17.65
2019;02;12;06;00;18.54;0.00;7.97;18.43
2019;02;12;07;00;20.35;0.00;8.37;25.46
2019;02;12;08;00;22.94;0.00;13.00;48.37
2019;02;12;09;00;24.94;0.00;17.37;55.98
2019;02;12;10;00;26.87;0.00;18.40;59.42
2019;02;12;11;00;28.69;0.00;19.16;61.99
2019;02;12;12;00;30.31;0.00;21.33;68.20
2019;02;12;13;00;31.30;0.00;23.11;71.85
2019;02;12;14;00;31.86;0.00;24.19;75.34
2019;02;12;15;00;32.09;0.00;24.29;78.02
2019;02;12;16;00;31.98;0.00;24.15;79.70
2019;02;12;17;00;31.81;0.00;23.80;79.54
2019;02;12;18;00;29.77;0.00;18.81;84.51
2019;02;12;19;00;28.48;0.00;20.16;91.02
2019;02;12;20;00;27.22;0.00;24.48;90.84
2019;02;12;21;00;25.74;0.00;23.11;85.53
2019;02;12;22;00;24.44;0.00;19.77;79.51
2019;02;12;23;00;23.15;0.00;14.69;72.90
2019;02;13;00;00;21.92;0.00;10.64;66.04
2019;02;13;01;00;20.85;0.00;8.21;52.13
2019;02;13;02;00;20.20;0.00;7.70;37.41
2019;02;13;03;00;19.72;0.00;7.24;26.57
2019;02;13;04;00;19.26;0.00;7.29;20.22
2019;02;13;05;00;18.81;0.00;7.34;11.31
2019;02;13;06;00;18.50;0.00;7.64;8.13
2019;02;13;07;00;20.46;0.00;7.70;10.78
2019;02;13;08;00;23.34;0.00;11.09;35.75
2019;02;13;09;00;25.63;0.00;14.34;51.12
2019;02;13;10;00;27.82;0.00;16.49;58.39
2019;02;13;11;00;29.66;0.00;18.36;64.44
2019;02;13;12;00;31.13;0.00;19.26;69.19
2019;02;13;13;00;32.08;0.00;20.38;72.53
2019;02;13;14;00;32.61;0.00;20.43;75.72
2019;02;13;15;00;32.76;0.00;20.27;77.69
2019;02;13;16;00;32.52;0.00;19.77;79.51
2019;02;13;17;00;31.55;0.00;19.13;85.68
2019;02;13;18;00;29.40;0.00;14.40;88.57
2019;02;13;19;00;27.66;0.00;11.89;91.74
2019;02;13;20;00;26.57;0.00;12.60;90.00
2019;02;13;21;00;25.83;0.00;16.92;91.22
2019;02;13;22;00;24.91;0.00;18.00;91.15
2019;02;13;23;00;23.43;0.00;13.34;86.91
2019;02;14;00;00;21.98;0.00;9.00;73.74
2019;02;14;01;00;21.17;0.00;7.42;50.91
2019;02;14;02;00;20.70;0.00;7.09;23.96
2019;02;14;03;00;20.25;0.00;7.95;5.19
2019;02;14;04;00;19.86;0.00;8.28;360.00
2019;02;14;05;00;19.49;0.00;8.65;357.61
2019;02;14;06;00;19.19;0.00;8.29;357.51
2019;02;14;07;00;21.08;0.00;8.64;360.00
2019;02;14;08;00;23.90;0.00;9.29;35.54
2019;02;14;09;00;26.37;0.00;11.59;53.84
2019;02;14;10;00;28.15;0.00;14.18;66.04
2019;02;14;11;00;29.91;0.00;14.92;70.25
2019;02;14;12;00;31.33;0.00;14.93;74.62
2019;02;14;13;00;32.37;0.00;15.39;79.22
