Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;02;06;00;00;24.80;0.20;22.04;38.37
2019;02;06;01;00;24.77;0.00;24.07;34.64
2019;02;06;02;00;24.19;0.00;23.86;33.93
2019;02;06;03;00;23.93;0.00;23.47;32.47
2019;02;06;04;00;23.83;0.00;23.28;31.72
2019;02;06;05;00;23.69;0.00;23.28;31.72
2019;02;06;06;00;23.61;0.00;23.71;30.07
2019;02;06;07;00;24.47;0.00;25.81;30.14
2019;02;06;08;00;26.91;0.00;28.56;33.69
2019;02;06;09;00;28.90;0.00;28.67;38.88
2019;02;06;10;00;30.78;0.00;27.75;44.47
2019;02;06;11;00;32.27;0.00;26.79;53.75
2019;02;06;12;00;33.20;0.00;26.08;63.79
2019;02;06;13;00;33.31;0.00;26.76;72.78
2019;02;06;14;00;33.06;0.00;28.04;74.36
2019;02;06;15;00;32.70;0.00;28.93;73.37
2019;02;06;16;00;31.90;0.00;28.24;72.95
2019;02;06;17;00;30.01;0.00;25.52;73.61
2019;02;06;18;00;27.69;0.00;20.61;70.62
2019;02;06;19;00;26.43;0.00;17.10;59.66
2019;02;06;20;00;25.68;0.00;15.55;42.18
2019;02;06;21;00;24.84;0.00;13.85;27.90
2019;02;06;22;00;23.88;0.00;12.30;20.56
2019;02;06;23;00;23.38;0.00;12.41;16.86
2019;02;07;00;00;22.91;0.00;13.32;18.92
2019;02;07;01;00;22.63;0.00;14.58;20.22
2019;02;07;02;00;22.45;0.00;16.75;25.46
2019;02;07;03;00;22.15;0.00;18.36;25.56
2019;02;07;04;00;21.71;0.00;18.03;26.05
2019;02;07;05;00;21.34;0.00;17.87;27.60
2019;02;07;06;00;21.07;0.00;19.16;28.01
2019;02;07;07;00;22.89;0.00;21.26;28.30
2019;02;07;08;00;26.72;0.00;24.39;31.11
2019;02;07;09;00;28.99;0.00;25.64;38.16
2019;02;07;10;00;30.79;0.00;26.23;46.67
2019;02;07;11;00;32.26;0.00;25.49;53.62
2019;02;07;12;00;33.25;0.00;24.31;62.68
2019;02;07;13;00;33.41;0.00;23.91;71.57
2019;02;07;14;00;33.21;0.00;24.45;76.37
2019;02;07;15;00;32.59;0.00;25.15;76.76
2019;02;07;16;00;31.41;0.00;24.72;77.38
2019;02;07;17;00;29.84;0.00;26.12;78.07
2019;02;07;18;00;27.54;0.00;20.97;74.05
2019;02;07;19;00;26.24;0.00;16.58;62.88
2019;02;07;20;00;25.41;0.00;13.51;41.76
2019;02;07;21;00;24.55;0.00;11.30;22.48
2019;02;07;22;00;24.60;0.00;9.78;6.34
2019;02;07;23;00;24.96;0.00;8.65;357.61
2019;02;08;00;00;24.78;0.00;7.92;360.00
2019;02;08;01;00;25.36;0.00;8.12;12.80
2019;02;08;02;00;24.58;0.00;9.50;24.62
2019;02;08;03;00;23.92;0.00;11.92;25.02
2019;02;08;04;00;23.13;0.00;13.24;22.38
2019;02;08;05;00;22.95;0.00;14.51;23.39
2019;02;08;06;00;22.70;0.00;15.04;21.04
2019;02;08;07;00;24.97;0.00;16.31;22.04
2019;02;08;08;00;27.69;0.00;19.51;29.88
2019;02;08;09;00;29.56;0.00;20.42;40.71
2019;02;08;10;00;31.13;0.00;19.96;50.86
2019;02;08;11;00;32.52;0.00;18.22;60.40
2019;02;08;12;00;33.30;0.00;17.87;80.73
2019;02;08;13;00;33.04;0.00;19.85;94.16
2019;02;08;14;00;31.98;0.00;21.54;99.62
2019;02;08;15;00;30.95;0.00;22.61;103.82
2019;02;08;16;00;29.65;0.00;20.49;108.43
2019;02;08;17;00;28.21;0.00;12.50;131.50
2019;02;08;18;00;26.50;0.00;7.90;136.85
2019;02;08;19;00;25.55;0.00;4.33;138.37
2019;02;08;20;00;25.23;0.00;3.32;130.60
2019;02;08;21;00;24.95;0.00;1.80;126.87
2019;02;08;22;00;24.75;0.00;0.72;90.00
2019;02;08;23;00;24.64;0.00;0.36;360.00
2019;02;09;00;00;25.19;0.00;1.30;303.69
2019;02;09;01;00;25.32;0.00;2.81;309.81
2019;02;09;02;00;25.18;0.00;3.71;299.05
2019;02;09;03;00;24.66;0.00;4.20;300.96
2019;02;09;04;00;24.42;0.00;3.60;306.87
2019;02;09;05;00;24.27;0.00;3.40;327.99
2019;02;09;06;00;24.49;0.00;3.26;353.66
2019;02;09;07;00;25.38;0.00;2.97;14.04
2019;02;09;08;00;26.23;0.00;3.60;53.13
2019;02;09;09;00;28.32;0.00;4.69;94.40
2019;02;09;10;00;28.46;0.10;7.24;116.57
2019;02;09;11;00;29.06;0.10;9.02;118.61
2019;02;09;12;00;30.70;0.00;10.38;123.69
2019;02;09;13;00;30.93;0.00;10.74;129.56
2019;02;09;14;00;30.80;0.00;10.74;140.44
2019;02;09;15;00;30.30;0.00;10.81;150.02
2019;02;09;16;00;29.56;0.00;10.37;159.68
2019;02;09;17;00;27.39;1.00;10.31;114.78
2019;02;09;18;00;26.61;0.60;7.64;98.13
2019;02;09;19;00;25.49;0.00;8.29;87.51
2019;02;09;20;00;25.12;0.00;9.35;74.36
2019;02;09;21;00;24.84;0.00;10.31;65.22
2019;02;09;22;00;24.49;0.00;11.92;61.11
2019;02;09;23;00;24.16;0.00;12.29;58.17
2019;02;10;00;00;23.89;0.00;12.31;52.13
2019;02;10;01;00;23.62;0.00;13.00;48.37
2019;02;10;02;00;23.41;0.00;12.73;45.00
2019;02;10;03;00;23.52;0.00;13.51;41.76
2019;02;10;04;00;23.48;0.00;14.34;38.88
2019;02;10;05;00;23.20;0.00;15.28;34.44
2019;02;10;06;00;22.94;0.00;16.49;31.61
2019;02;10;07;00;23.61;0.00;17.41;29.74
2019;02;10;08;00;25.73;0.00;20.19;31.14
2019;02;10;09;00;27.49;0.00;21.68;35.54
2019;02;10;10;00;28.37;0.00;21.90;43.67
2019;02;10;11;00;29.29;0.00;20.97;50.57
2019;02;10;12;00;30.19;0.00;19.69;59.22
2019;02;10;13;00;30.71;0.00;19.59;72.90
2019;02;10;14;00;29.99;0.00;21.49;81.33
2019;02;10;15;00;31.02;0.00;23.50;84.73
2019;02;10;16;00;30.01;0.00;23.54;83.85
2019;02;10;17;00;28.50;0.00;23.76;90.00
2019;02;10;18;00;26.79;0.00;19.96;82.75
2019;02;10;19;00;26.03;0.00;16.62;72.35
2019;02;10;20;00;25.39;0.00;15.38;57.43
2019;02;10;21;00;24.85;0.00;15.58;40.31
2019;02;10;22;00;24.38;0.00;16.79;30.96
2019;02;10;23;00;24.14;0.00;19.02;29.48
2019;02;11;00;00;23.93;0.00;20.99;30.96
2019;02;11;01;00;23.93;0.00;22.47;35.22
2019;02;11;02;00;23.92;0.00;23.57;34.42
2019;02;11;03;00;23.67;0.00;23.27;34.92
2019;02;11;04;00;23.46;0.00;23.57;34.42
2019;02;11;05;00;23.83;0.00;24.96;33.23
2019;02;11;06;00;23.92;0.00;25.16;33.92
2019;02;11;07;00;25.02;0.00;27.08;35.80
2019;02;11;08;00;26.13;0.00;29.41;39.54
2019;02;11;09;00;26.66;0.00;29.33;41.52
2019;02;11;10;00;27.89;0.00;30.30;46.44
2019;02;11;11;00;28.99;0.00;31.32;52.47
2019;02;11;12;00;29.75;0.00;31.45;56.67
2019;02;11;13;00;30.15;0.00;30.81;59.84
2019;02;11;14;00;30.35;0.00;31.12;60.17
2019;02;11;15;00;30.53;0.00;31.98;58.82
2019;02;11;16;00;30.65;0.00;32.78;58.93
2019;02;11;17;00;30.92;0.00;31.58;65.77
2019;02;11;18;00;28.83;0.00;29.16;61.22
2019;02;11;19;00;27.50;0.00;28.37;54.29
2019;02;11;20;00;26.61;0.00;28.82;48.54
2019;02;11;21;00;26.13;0.00;29.79;46.47
2019;02;11;22;00;25.88;0.00;31.06;45.00
2019;02;11;23;00;25.50;0.00;31.31;45.47
2019;02;12;00;00;25.08;0.00;31.58;43.15
2019;02;12;01;00;24.71;0.00;31.63;41.31
2019;02;12;02;00;24.26;0.00;31.26;38.45
2019;02;12;03;00;23.88;0.00;30.68;35.93
2019;02;12;04;00;23.55;0.00;30.68;31.08
2019;02;12;05;00;23.07;0.00;31.93;29.74
2019;02;12;06;00;22.85;0.00;33.36;29.05
2019;02;12;07;00;24.02;0.00;35.46;29.17
2019;02;12;08;00;26.56;0.00;38.74;33.25
2019;02;12;09;00;28.64;0.00;39.32;40.54
2019;02;12;10;00;30.55;0.00;40.03;48.28
2019;02;12;11;00;32.05;0.00;39.44;56.16
2019;02;12;12;00;32.97;0.00;39.62;61.81
2019;02;12;13;00;33.42;0.00;39.77;63.67
2019;02;12;14;00;33.56;0.00;39.13;64.38
2019;02;12;15;00;33.30;0.00;37.83;63.43
2019;02;12;16;00;32.53;0.00;37.52;61.96
2019;02;12;17;00;31.29;0.00;36.23;62.16
2019;02;12;18;00;28.99;0.00;34.27;58.31
2019;02;12;19;00;27.57;0.00;33.41;52.88
2019;02;12;20;00;26.77;0.00;33.51;50.67
2019;02;12;21;00;26.38;0.00;34.41;47.97
2019;02;12;22;00;25.98;0.00;34.88;46.25
2019;02;12;23;00;25.58;0.00;34.88;44.58
2019;02;13;00;00;25.25;0.00;34.39;42.88
2019;02;13;01;00;24.79;0.00;33.28;38.85
2019;02;13;02;00;24.29;0.00;33.56;35.39
2019;02;13;03;00;23.79;0.00;34.39;30.86
2019;02;13;04;00;23.36;0.00;35.14;29.45
2019;02;13;05;00;23.03;0.00;35.92;28.11
2019;02;13;06;00;22.83;0.00;35.75;27.60
2019;02;13;07;00;24.17;0.00;37.21;28.30
2019;02;13;08;00;26.93;0.00;39.65;32.39
2019;02;13;09;00;29.19;0.00;40.26;38.10
2019;02;13;10;00;31.26;0.00;40.48;44.64
2019;02;13;11;00;32.80;0.00;39.75;51.99
2019;02;13;12;00;33.79;0.00;39.04;57.04
2019;02;13;13;00;34.19;0.00;38.54;60.32
2019;02;13;14;00;34.14;0.00;37.84;62.22
2019;02;13;15;00;33.74;0.00;36.55;62.43
2019;02;13;16;00;32.96;0.00;34.79;61.58
2019;02;13;17;00;31.75;0.00;33.66;57.67
2019;02;13;18;00;29.47;0.00;29.56;55.92
2019;02;13;19;00;27.85;0.00;27.66;51.34
2019;02;13;20;00;26.69;0.00;26.52;48.30
2019;02;13;21;00;26.04;0.00;25.97;46.12
2019;02;13;22;00;25.62;0.00;26.49;42.80
2019;02;13;23;00;25.19;0.00;26.28;41.11
2019;02;14;00;00;24.67;0.00;25.81;39.91
2019;02;14;01;00;24.17;0.00;25.13;38.02
2019;02;14;02;00;23.76;0.00;25.49;36.38
2019;02;14;03;00;23.51;0.00;27.06;33.06
2019;02;14;04;00;23.40;0.00;27.78;31.22
2019;02;14;05;00;23.29;0.00;29.16;28.78
2019;02;14;06;00;23.19;0.00;29.78;26.57
2019;02;14;07;00;24.57;0.00;31.72;26.27
2019;02;14;08;00;27.23;0.00;34.34;29.52
2019;02;14;09;00;29.25;0.00;34.15;34.70
2019;02;14;10;00;31.17;0.00;32.85;43.67
2019;02;14;11;00;32.70;0.00;31.32;52.47
2019;02;14;12;00;33.57;0.00;29.34;60.60
2019;02;14;13;00;33.87;0.00;28.84;65.67
2019;02;14;14;00;33.87;0.00;28.84;65.67
2019;02;14;15;00;33.45;0.00;28.69;66.33
2019;02;14;16;00;32.66;0.00;28.04;65.74
2019;02;14;17;00;30.74;0.00;28.28;68.33
2019;02;14;18;00;28.67;0.00;25.12;64.54
2019;02;14;19;00;27.66;0.00;23.36;56.31
2019;02;14;20;00;26.94;0.00;21.92;47.66
2019;02;14;21;00;26.28;0.00;20.93;40.82
2019;02;14;22;00;25.82;0.00;20.09;36.25
2019;02;14;23;00;25.47;0.00;19.88;31.68
2019;02;15;00;00;25.17;0.00;20.01;30.26
2019;02;15;01;00;24.88;0.00;19.77;33.11
2019;02;15;02;00;24.69;0.00;21.53;38.21
2019;02;15;03;00;24.47;0.00;21.53;38.21
2019;02;15;04;00;24.18;0.00;21.31;37.45
2019;02;15;05;00;23.75;0.00;21.60;36.87
2019;02;15;06;00;23.44;0.00;21.60;36.87
2019;02;15;07;00;24.99;0.00;23.19;36.16
2019;02;15;08;00;27.44;0.00;26.09;39.40
2019;02;15;09;00;29.49;0.00;26.99;46.08
2019;02;15;10;00;31.19;0.00;26.50;53.29
2019;02;15;11;00;32.45;0.00;25.68;58.76
2019;02;15;12;00;33.19;0.00;24.49;65.70
2019;02;15;13;00;33.40;0.00;24.03;73.47
2019;02;15;14;00;33.08;0.00;24.22;78.86
2019;02;15;15;00;32.48;0.00;24.09;80.54
2019;02;15;16;00;31.47;0.00;24.03;81.38
2019;02;15;17;00;29.47;0.00;23.83;85.67
2019;02;15;18;00;27.68;0.00;19.77;79.51
2019;02;15;19;00;26.85;0.00;15.60;71.15
2019;02;15;20;00;26.41;0.00;13.18;55.01
2019;02;15;21;00;25.91;0.00;11.53;38.66
2019;02;15;22;00;25.47;0.00;10.64;23.96
2019;02;15;23;00;25.12;0.00;10.74;13.57
2019;02;16;00;00;24.85;0.00;11.37;10.95
2019;02;16;01;00;24.59;0.00;11.79;12.34
2019;02;16;02;00;24.43;0.00;14.18;23.96
2019;02;16;03;00;24.33;0.00;16.99;36.38
2019;02;16;04;00;24.02;0.00;16.99;36.38
2019;02;16;05;00;23.65;0.00;16.38;33.34
2019;02;16;06;00;23.21;0.00;15.95;28.30
2019;02;16;07;00;24.99;0.00;17.56;28.14
2019;02;16;08;00;28.15;0.00;20.38;32.01
2019;02;16;09;00;30.34;0.00;19.62;42.77
2019;02;16;10;00;32.03;0.00;18.37;55.38
2019;02;16;11;00;33.17;0.00;17.31;73.07
2019;02;16;12;00;33.50;0.00;17.64;90.00
2019;02;16;13;00;32.98;0.00;19.30;104.04
2019;02;16;14;00;31.79;0.00;20.52;111.61
2019;02;16;15;00;30.75;0.00;19.83;119.36
2019;02;16;16;00;29.73;0.00;16.42;127.87
2019;02;16;17;00;29.11;0.00;12.26;139.76
2019;02;16;18;00;27.66;0.00;8.79;145.01
2019;02;16;19;00;27.02;0.00;6.12;151.93
2019;02;16;20;00;26.67;0.00;4.21;160.02
2019;02;16;21;00;26.68;0.00;3.32;167.47
2019;02;16;22;00;26.32;0.00;2.19;189.46
2019;02;16;23;00;25.99;0.00;2.04;225.00
2019;02;17;00;00;25.69;0.00;3.08;249.44
2019;02;17;01;00;25.19;0.00;4.10;254.74
2019;02;17;02;00;24.87;0.00;5.59;255.07
2019;02;17;03;00;25.44;0.00;6.73;254.48
2019;02;17;04;00;25.35;0.00;6.92;261.03
2019;02;17;05;00;25.29;0.00;6.84;270.00
2019;02;17;06;00;25.04;0.00;6.49;273.18
2019;02;17;07;00;26.23;0.00;6.92;278.97
2019;02;17;08;00;27.57;0.00;6.73;285.52
2019;02;17;09;00;29.71;0.00;6.13;273.37
2019;02;17;10;00;31.18;0.00;6.83;251.57
2019;02;17;11;00;32.21;0.00;8.71;231.71
2019;02;17;12;00;32.61;0.00;11.72;227.49
2019;02;17;13;00;32.44;0.00;15.58;229.69
2019;02;17;14;00;31.77;0.00;18.78;237.53
2019;02;17;15;00;30.95;0.00;20.46;241.63
2019;02;17;16;00;30.02;0.00;21.58;244.29
2019;02;17;17;00;29.18;0.00;21.63;251.57
2019;02;17;18;00;27.66;0.00;20.28;253.50
2019;02;17;19;00;27.06;0.00;18.95;255.70
2019;02;17;20;00;26.96;0.00;18.58;261.09
2019;02;17;21;00;26.76;0.00;17.37;264.05
2019;02;17;22;00;26.47;0.00;15.50;267.34
2019;02;17;23;00;26.11;0.00;13.68;270.00
2019;02;18;00;00;25.60;0.00;12.61;271.64
2019;02;18;01;00;25.12;0.00;12.26;273.37
2019;02;18;02;00;24.67;0.00;11.90;273.47
2019;02;18;03;00;24.24;0.00;12.26;273.37
