Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;02;06;00;00;23.88;0.00;11.46;46.27
2019;02;06;01;00;23.15;0.00;10.69;32.62
2019;02;06;02;00;22.40;0.00;10.03;21.04
2019;02;06;03;00;21.80;0.00;10.83;15.42
2019;02;06;04;00;21.48;0.00;11.62;16.19
2019;02;06;05;00;20.98;0.00;11.38;18.43
2019;02;06;06;00;20.56;0.00;11.50;20.14
2019;02;06;07;00;22.51;0.00;13.24;22.38
2019;02;06;08;00;24.73;0.00;15.78;27.15
2019;02;06;09;00;26.86;0.00;15.28;34.44
2019;02;06;10;00;28.88;0.00;14.76;45.00
2019;02;06;11;00;30.93;0.00;15.19;58.57
2019;02;06;12;00;32.29;0.00;16.26;62.30
2019;02;06;13;00;33.23;0.00;17.24;61.29
2019;02;06;14;00;33.82;0.00;17.07;62.35
2019;02;06;15;00;34.00;0.00;17.40;65.56
2019;02;06;16;00;33.68;0.00;17.65;69.72
2019;02;06;17;00;32.89;0.00;19.16;84.61
2019;02;06;18;00;30.66;0.00;19.85;94.16
2019;02;06;19;00;28.59;0.00;21.79;97.59
2019;02;06;20;00;27.03;0.00;19.81;92.08
2019;02;06;21;00;25.84;0.00;17.02;83.93
2019;02;06;22;00;24.81;0.00;13.01;75.58
2019;02;06;23;00;23.67;0.00;8.37;64.54
2019;02;07;00;00;22.91;0.00;6.64;40.60
2019;02;07;01;00;22.43;0.00;6.73;15.52
2019;02;07;02;00;21.94;0.00;6.88;6.01
2019;02;07;03;00;21.56;0.00;6.85;3.01
2019;02;07;04;00;21.25;0.00;7.42;14.04
2019;02;07;05;00;21.02;0.00;8.43;19.98
2019;02;07;06;00;20.62;0.00;8.89;21.37
2019;02;07;07;00;22.15;0.00;9.03;23.50
2019;02;07;08;00;24.62;0.00;11.59;36.16
2019;02;07;09;00;26.74;0.00;12.26;49.76
2019;02;07;10;00;28.76;0.00;12.90;59.86
2019;02;07;11;00;30.82;0.00;12.90;67.01
2019;02;07;12;00;32.44;0.00;13.21;72.55
2019;02;07;13;00;33.52;0.00;13.71;76.33
2019;02;07;14;00;34.13;0.00;13.63;77.80
2019;02;07;15;00;34.33;0.00;13.49;80.79
2019;02;07;16;00;34.10;0.00;14.11;84.14
2019;02;07;17;00;33.20;0.00;19.83;105.80
2019;02;07;18;00;30.50;0.00;20.04;107.78
2019;02;07;19;00;28.48;0.00;19.91;102.53
2019;02;07;20;00;27.10;0.00;16.94;92.44
2019;02;07;21;00;25.97;0.00;13.40;83.83
2019;02;07;22;00;24.86;0.00;9.45;72.26
2019;02;07;23;00;23.97;0.00;6.79;57.99
2019;02;08;00;00;23.56;0.00;5.19;33.69
2019;02;08;01;00;23.07;0.00;5.09;8.13
2019;02;08;02;00;22.67;0.00;5.76;360.00
2019;02;08;03;00;22.29;0.00;6.12;360.00
2019;02;08;04;00;22.00;0.00;6.12;360.00
2019;02;08;05;00;21.73;0.00;6.84;360.00
2019;02;08;06;00;21.51;0.00;7.21;357.14
2019;02;08;07;00;23.31;0.00;7.20;360.00
2019;02;08;08;00;25.78;0.00;6.92;27.90
2019;02;08;09;00;27.88;0.00;7.29;57.09
2019;02;08;10;00;28.89;0.00;6.99;78.11
2019;02;08;11;00;31.28;0.00;6.12;90.00
2019;02;08;12;00;32.74;0.00;6.49;93.18
2019;02;08;13;00;33.97;0.00;6.16;96.71
2019;02;08;14;00;34.87;0.00;7.34;101.31
2019;02;08;15;00;35.26;0.00;8.77;109.18
2019;02;08;16;00;35.05;0.00;10.95;117.41
2019;02;08;17;00;34.04;0.00;15.00;120.26
2019;02;08;18;00;31.99;0.00;16.30;120.53
2019;02;08;19;00;30.24;0.00;20.19;121.14
2019;02;08;20;00;28.60;0.00;17.78;121.76
2019;02;08;21;00;27.37;0.00;13.40;120.70
2019;02;08;22;00;26.36;0.00;7.99;125.84
2019;02;08;23;00;25.74;0.00;5.12;140.71
2019;02;09;00;00;25.44;0.00;3.32;167.47
2019;02;09;01;00;25.25;0.00;1.84;191.31
2019;02;09;02;00;24.79;0.00;1.08;180.00
2019;02;09;03;00;24.38;0.00;0.80;116.57
2019;02;09;04;00;24.87;0.00;1.08;90.00
2019;02;09;05;00;24.86;0.00;1.48;75.96
2019;02;09;06;00;24.78;0.00;1.80;53.13
2019;02;09;07;00;25.32;0.00;2.31;38.66
2019;02;09;08;00;26.68;0.00;3.60;53.13
2019;02;09;09;00;28.60;0.00;6.15;69.44
2019;02;09;10;00;30.37;0.00;6.73;74.48
2019;02;09;11;00;31.97;0.00;6.88;83.99
2019;02;09;12;00;33.35;0.00;7.92;90.00
2019;02;09;13;00;34.40;0.00;9.03;94.57
