Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;02;06;00;00;20.57;0.00;4.80;347.01
2019;02;06;01;00;20.01;0.00;6.11;315.00
2019;02;06;02;00;19.55;0.00;6.92;297.90
2019;02;06;03;00;19.08;0.00;7.75;291.80
2019;02;06;04;00;18.36;0.00;8.43;289.98
2019;02;06;05;00;17.79;0.00;8.89;291.37
2019;02;06;06;00;17.32;0.00;9.03;293.50
2019;02;06;07;00;19.39;0.00;9.23;290.56
2019;02;06;08;00;23.07;0.00;7.10;300.47
2019;02;06;09;00;26.32;0.00;3.40;32.01
2019;02;06;10;00;29.17;0.00;7.86;74.05
2019;02;06;11;00;31.27;0.00;12.32;83.29
2019;02;06;12;00;32.38;0.00;16.39;81.16
2019;02;06;13;00;33.00;0.00;17.82;81.87
2019;02;06;14;00;33.20;0.00;18.49;83.29
2019;02;06;15;00;33.01;0.00;19.13;85.68
2019;02;06;16;00;32.27;0.00;19.80;90.00
2019;02;06;17;00;30.74;0.00;21.67;94.76
2019;02;06;18;00;27.91;0.00;19.25;97.52
2019;02;06;19;00;26.00;0.00;15.98;104.35
2019;02;06;20;00;24.33;0.00;12.30;110.56
2019;02;06;21;00;22.72;0.00;8.53;117.65
2019;02;06;22;00;22.02;0.00;6.64;130.60
2019;02;06;23;00;21.48;0.00;4.51;151.39
2019;02;07;00;00;21.16;0.00;3.24;180.00
2019;02;07;01;00;20.87;0.00;2.60;213.69
2019;02;07;02;00;20.48;0.00;2.74;246.80
2019;02;07;03;00;20.06;0.00;3.60;270.00
2019;02;07;04;00;19.51;0.00;4.69;274.40
2019;02;07;05;00;19.01;0.00;5.94;284.04
2019;02;07;06;00;18.51;0.00;6.73;285.52
2019;02;07;07;00;19.93;0.00;6.29;283.24
2019;02;07;08;00;23.49;0.00;2.41;206.57
2019;02;07;09;00;26.15;0.00;4.39;145.01
2019;02;07;10;00;28.60;0.00;7.49;125.22
2019;02;07;11;00;30.61;0.00;11.18;123.18
2019;02;07;12;00;32.21;0.00;14.08;122.47
2019;02;07;13;00;33.08;0.00;14.49;116.57
2019;02;07;14;00;33.60;0.00;14.84;112.83
2019;02;07;15;00;33.56;0.00;16.65;111.57
2019;02;07;16;00;33.05;0.00;17.92;112.44
2019;02;07;17;00;31.57;0.00;20.49;108.43
2019;02;07;18;00;28.64;0.00;19.93;110.07
2019;02;07;19;00;26.54;0.00;19.01;114.62
2019;02;07;20;00;24.89;0.00;15.99;121.18
2019;02;07;21;00;23.58;0.00;12.26;130.24
2019;02;07;22;00;22.36;0.00;8.94;139.90
2019;02;07;23;00;21.45;0.00;7.57;154.65
2019;02;08;00;00;22.75;0.00;8.21;164.74
2019;02;08;01;00;22.65;0.00;8.43;160.02
2019;02;08;02;00;22.53;0.10;6.83;161.57
2019;02;08;03;00;22.36;0.00;6.99;168.11
2019;02;08;04;00;21.99;0.00;7.93;182.60
2019;02;08;05;00;21.74;0.00;7.86;195.95
2019;02;08;06;00;20.80;0.00;7.29;212.91
2019;02;08;07;00;21.91;0.00;7.39;226.97
2019;02;08;08;00;23.78;0.00;7.13;225.00
2019;02;08;09;00;26.21;0.00;7.17;197.53
2019;02;08;10;00;28.97;0.00;7.21;177.14
2019;02;08;11;00;31.44;0.00;9.57;160.20
2019;02;08;12;00;33.14;0.00;11.59;143.84
2019;02;08;13;00;34.20;0.00;13.04;140.60
2019;02;08;14;00;34.73;0.00;13.49;136.08
2019;02;08;15;00;34.70;0.00;14.26;132.95
2019;02;08;16;00;34.22;0.00;15.07;130.16
2019;02;08;17;00;32.83;0.00;20.19;140.06
2019;02;08;18;00;30.13;0.00;20.66;131.47
2019;02;08;19;00;27.44;0.00;21.95;131.01
2019;02;08;20;00;25.63;0.00;18.58;134.22
2019;02;08;21;00;24.53;0.00;15.28;136.91
2019;02;08;22;00;23.60;0.00;12.03;141.07
2019;02;08;23;00;22.74;0.00;8.79;145.01
2019;02;09;00;00;22.12;0.00;8.05;153.43
2019;02;09;01;00;22.81;0.00;7.17;162.47
2019;02;09;02;00;22.72;0.00;5.51;168.69
2019;02;09;03;00;22.69;0.00;5.04;180.00
2019;02;09;04;00;22.64;0.00;5.40;180.00
2019;02;09;05;00;22.57;0.00;5.80;187.13
2019;02;09;06;00;22.50;0.00;6.29;193.24
2019;02;09;07;00;23.37;0.00;7.17;197.53
2019;02;09;08;00;25.12;0.00;9.06;186.84
2019;02;09;09;00;27.31;0.00;10.85;174.29
2019;02;09;10;00;29.22;0.00;11.73;162.12
2019;02;09;11;00;31.20;0.00;11.92;154.98
2019;02;09;12;00;32.84;0.00;12.18;145.84
2019;02;09;13;00;33.66;0.00;12.26;139.76
2019;02;09;14;00;34.03;0.00;12.31;127.87
2019;02;09;15;00;34.02;0.00;12.90;120.14
2019;02;09;16;00;32.71;0.10;13.20;115.87
2019;02;09;17;00;30.62;0.30;15.19;95.44
2019;02;09;18;00;28.36;0.00;11.79;102.34
2019;02;09;19;00;27.36;0.00;15.03;106.70
2019;02;09;20;00;26.13;0.00;18.20;114.54
2019;02;09;21;00;25.07;0.00;16.43;118.81
2019;02;09;22;00;24.40;0.00;13.28;122.83
2019;02;09;23;00;23.70;0.00;10.23;129.29
2019;02;10;00;00;23.61;0.00;7.90;136.85
2019;02;10;01;00;23.32;0.00;5.40;143.13
2019;02;10;02;00;23.09;0.00;3.88;158.20
2019;02;10;03;00;22.96;0.00;3.24;180.00
2019;02;10;04;00;22.72;0.00;2.16;180.00
2019;02;10;05;00;22.45;0.00;1.61;206.57
2019;02;10;06;00;22.30;0.00;1.94;248.20
2019;02;10;07;00;23.18;0.00;1.80;270.00
2019;02;10;08;00;24.91;0.00;1.08;270.00
2019;02;10;09;00;27.32;0.00;3.32;139.40
2019;02;10;10;00;29.39;0.00;7.57;115.35
2019;02;10;11;00;31.11;0.00;9.61;102.99
2019;02;10;12;00;32.49;0.00;11.61;97.13
2019;02;10;13;00;33.46;0.00;15.12;90.00
2019;02;10;14;00;33.84;0.00;17.64;88.83
2019;02;10;15;00;33.57;0.00;19.80;90.00
2019;02;10;16;00;32.99;0.00;21.96;90.00
2019;02;10;17;00;30.92;0.00;20.89;91.97
2019;02;10;18;00;29.33;0.00;20.16;91.02
2019;02;10;19;00;27.33;0.00;20.16;91.02
2019;02;10;20;00;25.68;0.00;18.00;90.00
2019;02;10;21;00;24.70;0.00;14.06;87.06
2019;02;10;22;00;23.83;0.00;9.78;83.66
2019;02;10;23;00;22.87;0.00;6.21;79.99
2019;02;11;00;00;22.99;0.00;5.35;70.35
2019;02;11;01;00;22.93;0.00;5.00;59.74
2019;02;11;02;00;22.55;0.00;3.83;41.19
2019;02;11;03;00;22.33;0.00;2.97;14.04
2019;02;11;04;00;22.19;0.00;3.62;354.29
2019;02;11;05;00;22.05;0.00;4.55;341.57
2019;02;11;06;00;21.89;0.00;5.01;338.96
2019;02;11;07;00;22.14;0.00;5.69;341.57
2019;02;11;08;00;23.39;0.00;5.77;3.58
2019;02;11;09;00;25.23;0.00;8.15;45.00
2019;02;11;10;00;28.07;0.00;12.90;67.01
2019;02;11;11;00;29.94;0.00;15.18;67.69
2019;02;11;12;00;31.41;0.00;17.53;70.82
2019;02;11;13;00;32.41;0.00;19.93;73.20
2019;02;11;14;00;32.83;0.00;22.45;74.18
2019;02;11;15;00;32.57;0.00;24.98;74.96
2019;02;11;16;00;31.64;0.00;26.11;74.81
2019;02;11;17;00;29.80;0.00;26.20;77.30
2019;02;11;18;00;27.44;0.00;21.40;77.37
2019;02;11;19;00;26.06;0.00;18.00;78.47
2019;02;11;20;00;24.81;0.00;14.49;75.62
2019;02;11;21;00;23.58;0.00;10.59;72.18
2019;02;11;22;00;22.51;0.00;7.24;63.43
2019;02;11;23;00;22.04;0.00;5.86;42.51
2019;02;12;00;00;21.58;0.00;5.05;4.09
2019;02;12;01;00;21.05;0.00;5.48;336.80
2019;02;12;02;00;20.58;0.00;6.49;326.31
2019;02;12;03;00;21.01;0.00;6.92;332.10
2019;02;12;04;00;20.93;0.00;6.03;342.65
2019;02;12;05;00;20.88;0.00;6.57;350.54
2019;02;12;06;00;20.77;0.00;6.84;360.00
2019;02;12;07;00;21.29;0.00;9.00;16.26
2019;02;12;08;00;22.57;0.00;13.10;37.18
2019;02;12;09;00;24.78;0.00;14.77;46.97
2019;02;12;10;00;27.17;0.00;17.43;51.71
2019;02;12;11;00;29.32;0.00;20.19;58.86
2019;02;12;12;00;30.82;0.00;22.38;64.26
2019;02;12;13;00;31.58;0.00;23.51;64.61
2019;02;12;14;00;31.94;0.00;24.82;66.04
2019;02;12;15;00;31.60;0.00;26.28;66.60
2019;02;12;16;00;30.63;0.00;27.09;66.50
2019;02;12;17;00;29.08;0.00;26.18;71.57
2019;02;12;18;00;26.51;0.00;20.95;70.94
2019;02;12;19;00;24.94;0.00;16.52;69.59
2019;02;12;20;00;23.49;0.00;13.05;65.56
2019;02;12;21;00;22.11;0.00;9.09;56.31
2019;02;12;22;00;21.38;0.00;7.20;36.87
2019;02;12;23;00;20.80;0.00;6.57;9.46
2019;02;13;00;00;20.28;0.00;7.07;345.26
2019;02;13;01;00;19.81;0.00;7.59;328.57
2019;02;13;02;00;19.15;0.00;8.40;316.74
